N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"71,900",600,+0.84%,100,"4,292,274","5,969,783",51.80,"5,763,688",15.14,9.99,
2,SK하이닉스,"96,000",500,-0.52%,"5,000","698,882","728,002",46.97,"1,723,326",12.01,9.53,
3,NAVER,"392,500","19,500",+5.23%,100,"644,734","164,263",56.59,"431,117",3.91,15.22,
4,삼성전자우,"65,900",800,+1.23%,100,"542,282","822,887",74.72,"592,002",13.88,N/A,
5,삼성바이오로직스,"815,000","24,000",+3.03%,"2,500","539,245","66,165",10.56,"45,494",161.07,N/A,
6,카카오,"119,000","6,000",+5.31%,100,"529,541","444,992",30.25,"2,806,356",110.90,2.70,
7,LG화학,"732,000","11,000",-1.48%,"5,000","516,736","70,592",46.61,"155,111",19.72,2.93,
8,삼성SDI,"665,000","1,000",-0.15%,"5,000","457,284","68,765",44.80,"126,863",49.27,4.54,
9,현대차,"197,000","3,000",+1.55%,"5,000","420,926","213,668",28.50,"384,688",14.27,2.04,
10,기아,"77,500","2,800",+3.75%,"5,000","314,157","405,363",34.27,"812,227",9.05,5.05,
11,셀트리온,"216,500","4,500",+2.12%,"1,000","298,629","137,935",20.68,"574,544",50.76,16.68,
12,카카오뱅크,"60,100","2,100",+3.62%,"5,000","285,535","475,100",5.44,"878,011",194.50,5.08,
13,POSCO,"319,500","2,500",+0.79%,"5,000","278,562","87,187",54.98,"113,838",7.22,3.61,
14,현대모비스,"260,000","10,000",+4.00%,"5,000","246,462","94,793",34.91,"144,628",11.16,4.66,
15,크래프톤,"474,000","20,000",+4.41%,100,"232,030","48,951",6.06,"99,419",40.81,61.86,
16,KB금융,"55,500","1,300",+2.40%,"5,000","230,773","415,808",68.23,"537,123",5.47,8.53,
17,SK이노베이션,"248,500","7,000",-2.74%,"5,000","229,777","92,466",24.47,"286,001",-51.48,-13.58,
18,삼성물산,"122,500","1,500",+1.24%,100,"228,937","186,887",15.12,"91,893",13.97,3.81,
19,SK텔레콤,"316,500","2,000",+0.64%,500,"228,070","72,060",44.57,"105,425",12.02,6.44,
20,LG생활건강,"1,387,000","60,000",+4.52%,"5,000","216,624","15,618",45.37,"22,225",29.12,17.92,
21,신한지주,"39,850",650,+1.66%,"5,000","205,865","516,600",60.85,"514,677",5.16,8.20,
22,LG전자,"123,500","3,500",+2.92%,"5,000","202,105","163,648",30.28,"444,109",14.94,13.23,
